1802215	8605
1802218	92201
1801849	71
1802211	3219
1802226	2019
1802237	6274
1801852	71
1802139	3975
1802175	92312
1802198	8307
1802144	51
1802177	42929
1802227	127
1802178	2181
1802209	12
1801893	7748
1801902	7928
1801917	92201
1801900	7928
1801923	2610
1802222	29486
1802217	91257
1802183	85
1802151	51
1801865	727
1801866	727
1801868	727
1802219	90105
1801901	7928
1802221	29486
1801875	78
1801874	78
1801877	78
1802199	8307
1802204	8977
1802004	77222
1801919	92201
1802232	3219
1802254	58
1801864	727
1802009	77222
1802019	1960
1802233	29486
1802117	6274
1801980	1960
1802229	127
1802234	2591
1802005	77222
1802011	77222
1802244	2591
1802253	58
1802256	522
1802262	2591
1802245	12
1802255	58
1802257	71
1802261	5448
1802263	2591
1802246	6180
1802260	5448
1802272	91257
1802274	2591
1802251	6180
1802252	6180
1802265	2591
1802249	6180
1802266	2181
1802010	77222
1802238	6274
1802015	52366
1802038	2181
1802160	44
1802149	51
1802130	9126
1802131	9126
1802137	2610
1802143	727
1802036	2181
1802037	2181
1802120	6274
1802097	2181
1802180	1223
1802185	5460
1802181	4390
1802182	4390
1802242	3220
1802190	5460
1802210	12
1802223	29486
1802189	5460
1802230	127
1802191	5652
1802192	5652
1802193	5652
1802228	127
1802194	5652
1802200	1223
1802212	8605
1802213	8605
1802195	5652
1802197	8307
1802205	8977
1802201	8977
1802206	8977
1802207	8977
1802216	91257
1802270	1223
1802208	53
1802235	2181
1802236	53
1802278	53607
1802224	29486
1802225	2019
1802220	18866
1802231	2591
1802267	7748
1802239	6274
1802240	6274
1802241	3220
1802259	2621
1802243	3220
1802258	71
1802264	2591
1802112	7958
1802113	7958
1802118	6274
1802119	6274
1802273	70
1802162	44
1801935	2610
1801846	71
1801850	71
1801863	727
1801979	1960
1802269	29486
1802271	91257
1801844	71
1801845	71
1802123	7748
1802127	40
1801909	727
1801953	7748
1802122	40
1802268	11332
1802275	91257
1802129	3220
1802133	9126
1802125	40
1802128	40
1802132	9126
1802154	3191
1802134	9126
1802141	87
1802135	1291
1802152	51
1802214	8605
1802165	1208
1802167	90105
1802168	90105
1802184	85
1802156	28987
1802138	70
1802153	1960
1802161	44
1802136	1291
1802155	3191
1802140	3975
1802142	727
1802158	28987
1802157	28987
1802159	44
1802164	1208
1802179	1208
1802163	1208
1802166	1208
1802176	91215
1802196	8307
