90330	1802196	8307
90356	1802254	58
90314	1802160	44
91977	1802260	5448
91978	1802129	3220
91979	1802236	53
91980	1802227	127
91985	1802125	40
91986	1802142	727
91987	1801901	7928
91988	1802183	85
91989	1802213	8605
91990	1802198	8307
91991	1801849	71
91992	1802275	91257
91993	1802141	87
91995	1802139	3975
91996	1802123	7748
91997	1802197	8307
91998	1802199	8307
91999	1802235	2181
92000	1802249	6180
92001	1802118	6274
92002	1802238	6274
92003	1802163	1208
92004	1802234	2591
92005	1802232	3219
92006	1802253	58
92007	1802273	70
92008	1802178	2181
92009	1802200	1223
92010	1802185	5460
92012	1802192	5652
92013	1802144	51
92015	1802271	91257
92016	1801953	7748
92017	1802127	40
92018	1802268	11332
92019	1802138	70
92020	1802143	727
92021	1801852	71
92022	1802240	6274
92023	1801874	78
92024	1802132	9126
92025	1802272	91257
92027	1802225	2019
92029	1802215	8605
92030	1802257	71
92031	1801865	727
92032	1802207	8977
92033	1802220	18866
92034	1802159	44
92035	1802037	2181
92036	1802112	7958
92038	1802119	6274
92039	1802211	3219
92040	1802224	29486
92041	1802267	7748
92042	1802274	2591
92044	1802005	77222
92045	1801900	7928
92046	1802120	6274
92047	1802168	90105
92048	0	0
92051	1802009	77222
92052	1802181	4390
92053	1802259	2621
92054	1802134	9126
92055	1802175	92312
92056	1802155	3191
92057	1802239	6274
92058	1802209	12
92059	1802189	5460
92060	1802229	127
92061	1802036	2181
92063	1802264	2591
92064	1802243	3220
92065	1802162	44
92066	1802236	53
92067	1802212	8605
92068	1802269	29486
92069	1802149	51
92070	1802219	90105
92071	1801980	1960
92072	1802177	42929
92073	1802245	12
92074	1802167	90105
92075	1802278	53607
92076	1802205	8977
92077	1802019	1960
92078	1802097	2181
92079	1802255	58
92083	1802246	6180
92084	1801875	78
92085	1802223	29486
92086	1801979	1960
92087	1802136	1291
92088	1801923	2610
92090	1802230	127
92092	1801902	7928
92093	1802226	2019
92094	1801850	71
92095	1802210	12
92096	1802233	29486
92097	1801917	92201
92098	1802179	1208
92099	1801844	71
92100	1802251	6180
92102	1802152	51
92103	1802154	3191
92104	1801935	2610
92105	1801919	92201
92106	1802190	5460
92107	0	0
92108	1802184	85
92109	1802161	44
92110	1802244	2591
92111	1802266	2181
92112	1802208	53
92113	1802251	6180
92114	1802134	9126
92115	1802228	127
92116	1802117	6274
92117	1802128	40
92118	1801845	71
92120	1802153	1960
92121	1802263	2591
92122	1802270	1223
92123	1802122	40
92124	1802231	2591
92125	1802261	5448
92126	1802130	9126
92127	1802258	71
92128	1801846	71
92129	1802201	8977
92130	1802005	77222
92131	1802166	1208
92132	1802180	1223
92133	1802131	9126
92134	1802208	53
92135	1802206	8977
92221	1802165	1208
92222	1801863	727
92223	1801868	727
92224	1802218	92201
92225	1802246	6180
92226	1802191	5652
92227	1802015	52366
92228	1802237	6274
