1802160	44	90314
1802196	8307	90330
1802245	12	90356
1802260	5448	91977
1802129	3220	91978
1802236	53	91979
1802230	127	91980
1802125	40	91985
1802142	727	91986
1801901	7928	91987
1802183	85	91988
1802213	8605	91989
1802198	8307	91990
1801849	71	91991
1802275	91257	91992
1802141	87	91993
1802139	3975	91995
1802123	7748	91996
1802197	8307	91997
1802199	8307	91998
1802235	2181	91999
1802118	6274	92001
1802239	6274	92002
1802163	1208	92003
1802234	2591	92004
1802200	1223	92005
1802253	58	92006
1802273	70	92007
1802178	2181	92008
1802185	5460	92010
1802144	51	92013
1802271	91257	92015
1801953	7748	92016
1802128	40	92017
1802268	11332	92018
1802138	70	92019
1802143	727	92020
1802266	2181	92021
1802237	6274	92022
1801874	78	92023
1802132	9126	92024
1802272	91257	92025
1802136	1291	92027
1802215	8605	92029
1802257	71	92030
1801865	727	92031
1802207	8977	92032
1802220	18866	92033
1802159	44	92034
1802192	5652	92035
1802112	7958	92036
1802119	6274	92038
1802211	3219	92039
1802224	29486	92040
1802267	7748	92041
1802274	2591	92042
1802281	77222	92044
1801900	7928	92045
1802120	6274	92046
1802184	85	92047
1802009	77222	92051
1802181	4390	92052
1802209	12	92053
1802259	2621	92054
1802175	92312	92055
1802155	3191	92056
1802240	6274	92057
1802210	12	92058
1802189	5460	92059
1802229	127	92060
1802036	2181	92061
1802264	2591	92063
1802243	3220	92064
1802162	44	92065
1802130	9126	92066
1802212	8605	92067
1802269	29486	92068
1802206	8977	92069
1802244	2591	92070
1801980	1960	92071
1802177	42929	92072
1802097	2181	92073
1802167	90105	92074
1802278	53607	92075
1801893	7748	92076
1802019	1960	92077
1802134	9126	92078
1802255	58	92079
1802282	6180	92083
1801875	78	92084
1802280	9126	92085
1801979	1960	92086
1801923	2610	92088
1802133	9126	92090
1801902	7928	92092
1802226	2019	92093
1801850	71	92094
1802228	127	92095
1802233	29486	92096
1802218	92201	92097
1802179	1208	92098
1801844	71	92099
1802254	58	92100
1802152	51	92102
1801935	2610	92104
1801919	92201	92105
1802190	5460	92106
1802191	5652	92108
1802204	8977	92109
1802265	2591	92110
1802038	2181	92111
1802283	53	92112
1802251	6180	92113
1802153	1960	92114
1802249	6180	92115
1802117	6274	92116
1802127	40	92117
1801845	71	92118
1802161	44	92120
1802223	29486	92121
1802270	1223	92122
1802122	40	92123
1802261	5448	92125
1802232	3219	92126
1802258	71	92127
1801846	71	92128
1802201	8977	92129
1802005	77222	92130
1802154	3191	92131
1802180	1223	92132
1802227	127	92133
1802208	53	92134
1802246	6180	92135
1802165	1208	92221
1801863	727	92222
1801868	727	92223
1802149	51	92224
1802279	6180	92225
1801917	92201	92226
1802015	52366	92227
1802238	6274	92228
