P	90356	1802097	2181
P	90356	1802134	9126
P	91977	1802175	92312
P	91977	1802139	3975
P	91977	1802196	8307
P	91978	1802241	3220
P	91978	1802242	3220
N	91978	1802138	70
N	91978	1802183	85
P	91979	1802245	12
P	91985	1802134	9126
P	91985	1802224	29486
N	91986	1802138	70
P	91987	1802134	9126
P	91990	1802206	8977
P	91991	1802037	2181
P	91991	1802142	727
N	91993	1801845	71
N	91993	1801846	71
N	91993	1801844	71
N	91993	1802258	71
N	91993	1802257	71
N	91993	1801849	71
P	91995	1802163	1208
P	92001	1802199	8307
P	92001	1802175	92312
P	92002	1802205	8977
U	92002	1802249	6180
N	92002	1802112	7958
P	92004	1802233	29486
P	92004	1802184	85
P	92007	1802097	2181
P	92007	1802210	12
P	92007	1802200	1223
P	92008	1801866	727
P	92009	1802200	1223
P	92010	1802212	8605
P	92012	1802192	5652
P	92012	1802193	5652
P	92013	1802224	29486
N	92017	1801917	92201
P	92021	1802142	727
P	92021	1802143	727
P	92021	1801852	71
P	92022	1801923	2610
N	92024	1802189	5460
P	92027	1801868	727
P	92027	1802194	5652
P	92027	1802195	5652
P	92027	1802225	2019
P	92029	1802130	9126
P	92029	1801923	2610
P	92031	1802223	29486
N	92031	1802254	58
P	92032	1802190	5460
P	92032	1802134	9126
P	92035	1802036	2181
P	92036	1802223	29486
P	92036	1802231	2591
P	92036	1802097	2181
P	92036	1802184	85
P	92038	1802206	8977
P	92039	1802097	2181
N	92040	1801917	92201
P	92040	1802223	29486
N	92040	1802216	91257
N	92046	1802112	7958
P	92046	1802132	9126
P	92047	1802223	29486
P	92047	1801909	727
P	92051	1802210	12
P	92051	1802209	12
N	92053	1801923	2610
P	92053	1802210	12
P	92053	1802149	51
P	92053	1802134	9126
P	92053	1802224	29486
P	92053	1802209	12
P	92054	1802134	9126
P	92054	1802180	1223
P	92054	1802097	2181
P	92054	1802232	3219
N	92054	1801864	727
P	92055	1802139	3975
N	92055	1802154	3191
N	92055	1802155	3191
P	92055	1802197	8307
P	92055	1802199	8307
N	92055	1802177	42929
P	92058	1802209	12
P	92059	1802097	2181
N	92061	1802138	70
P	92061	1802226	2019
P	92061	1802156	28987
N	92063	1802243	3220
P	92063	1802168	90105
P	92065	1801919	92201
P	92069	1802177	42929
P	92069	1802097	2181
P	92070	1802184	85
N	92071	1802181	4390
P	92071	1801919	92201
P	92073	1802133	9126
P	92073	1802134	9126
P	92073	1802132	9126
P	92073	1801917	92201
N	92073	1802243	3220
P	92074	1801909	727
P	92074	1802224	29486
P	92074	1802221	29486
N	92079	1802216	91257
N	92079	1801864	727
N	92079	1801923	2610
P	92079	1802232	3219
P	92085	1802097	2181
P	92085	1801917	92201
P	92087	1802192	5652
P	92087	1802193	5652
P	92087	1802191	5652
N	92087	1802217	91257
N	92088	1802010	77222
N	92094	1801849	71
N	92094	1801845	71
N	92094	1801844	71
N	92094	1802258	71
N	92094	1802257	71
N	92094	1801852	71
P	92096	1801919	92201
P	92096	1802218	92201
N	92096	1801909	727
N	92096	1802167	90105
N	92096	1802181	4390
P	92097	1801919	92201
P	92099	1801849	71
P	92099	1801845	71
P	92099	1801846	71
N	92099	1801850	71
P	92099	1801852	71
N	92099	1802258	71
P	92099	1802257	71
P	92102	1802196	8307
P	92102	1802211	3219
P	92103	1802220	18866
P	92103	1802139	3975
P	92105	1802233	29486
P	92108	1802223	29486
P	92108	1802210	12
P	92108	1802184	85
P	92108	1802224	29486
P	92110	1802244	2591
P	92110	1802097	2181
P	92110	1802219	90105
N	92110	1802168	90105
N	92110	1802113	7958
N	92112	1802009	77222
N	92112	1801865	727
N	92112	1802097	2181
N	92112	1802129	3220
N	92112	1802010	77222
P	92113	1802210	12
P	92114	1802134	9126
P	92114	1801923	2610
P	92115	1802224	29486
P	92116	1802206	8977
P	92116	1802201	8977
N	92117	1802154	3191
N	92117	1802112	7958
P	92121	1802222	29486
P	92121	1802233	29486
N	92126	1802255	58
P	92126	1802130	9126
P	92126	1802133	9126
P	92127	1801852	71
P	92127	1801845	71
P	92127	1802257	71
P	92127	1801849	71
P	92127	1801846	71
P	92128	1801844	71
P	92128	1801849	71
P	92128	1802257	71
P	92128	1801845	71
P	92128	1802258	71
N	92129	1802206	8977
P	92131	1802196	8307
P	92131	1802176	91215
P	92132	1802182	4390
P	92133	1802131	9126
N	92133	1802273	70
P	92133	1802224	29486
P	92135	1802206	8977
N	92135	1802215	8605
P	92135	1802134	9126
P	92135	1802210	12
P	92222	1802180	1223
P	92223	1802194	5652
P	92223	1802195	5652
P	92223	1802225	2019
P	92224	1802224	29486
P	92224	1802134	9126
P	92225	1802210	12
P	92225	1802209	12
N	92226	1801865	727
P	92227	1802222	29486
P	92228	1802205	8977
