90314	C1	1802117	1
90330	Q1	1802196	1
90356	S1	1802254	1
91977	Q1	1802175	1
91978	A1	1802129	1
91979	S1	1802245	1
91980	S1	1802229	1
91985	S1	1802125	1
91986	A1	1802142	1
91987	C1	1801901	1
91988	C1	1802183	1
91989	C1	1802128	1
91990	Q1	1802127	1
91991	A1	1801849	1
91992	V1	1802217	1
91993	A1	1802141	1
91995	Q1	1802155	1
91996	Q1	1802123	1
91997	C1	1802127	1
91998	Q1	1802199	1
92000	S1	1802230	1
92001	C1	1802238	1
92002	C1	1802239	1
92003	Q1	1802163	1
92004	V1	1802234	1
92005	S1	1802200	1
92006	V1	1802253	1
92007	S1	1802273	1
92008	A1	1802178	1
92009	S1	1802229	1
92010	C1	1802122	1
92012	A1	1802192	1
92013	S1	1802229	1
92015	S1	1802271	1
92016	Q1	1802199	1
92017	C1	1802227	1
92018	S1	0	1
92019	A1	1802138	1
92020	A1	1802143	1
92021	A1	1802142	1
92022	C1	1802240	1
92023	A1	1801874	1
92024	V1	1802132	1
92025	V1	1802133	1
92027	A1	1801868	1
92029	C1	1802215	1
92030	A1	0	1
92031	V1	1801865	1
92032	C1	1802207	1
92033	Q1	1802220	1
92034	C1	1802097	1
92035	A1	1802192	1
92036	V1	1802223	1
92038	C1	1801980	1
92039	S1	1802232	1
92040	V1	1802224	1
92041	Q1	1802123	1
92042	V1	1802244	1
92044	S1	1802005	1
92045	S1	1801900	1
92046	C1	1802127	1
92047	V1	1802097	1
92051	S1	1802009	1
92052	V1	1802181	1
92053	S1	1802227	1
92054	S1	1802230	1
92055	Q1	1802175	1
92056	Q1	0	1
92057	C1	1802240	1
92058	S1	1802210	1
92059	C1	1802189	1
92060	C1	1802229	1
92061	A1	1802036	1
92063	V1	1802243	1
92064	V1	1802243	1
92065	C1	1802189	1
92066	S1	1802130	1
92067	C1	1802125	1
92068	V1	1802228	1
92069	V1	1802149	1
92070	V1	1802244	1
92071	C1	1802240	1
92072	Q1	1802177	1
92073	S1	1802097	1
92074	V1	1802167	1
92075	A1	1802226	1
92076	C1	1802240	1
92077	C1	1802019	1
92078	V1	1802097	1
92079	S1	1802255	1
92083	S1	1802251	1
92084	A1	1801875	1
92085	V1	1802134	1
92086	C1	1802019	1
92087	S1	1802136	1
92088	S1	1801923	1
92090	S1	1802230	1
92092	S1	1801902	1
92093	A1	1802226	1
92094	A1	1801850	1
92095	S1	1802228	1
92096	V1	1802233	1
92097	C1	1802218	1
92098	Q1	1802165	1
92099	A1	1801849	1
92100	S1	1802251	1
92102	S1	1802177	1
92103	Q1	1802197	1
92104	S1	1801935	1
92105	V1	1801919	1
92106	C1	1802205	1
92107	V1	1802229	1
92108	V1	1802230	1
92109	C1	1801980	1
92110	V1	1802244	1
92111	A1	1802266	1
92112	S1	1802127	1
92113	S1	1802251	1
92114	C1	1801902	1
92115	S1	1802228	1
92116	C1	1802117	1
92117	Q1	1802125	1
92118	A1	1801845	1
92120	C1	1802153	1
92121	V1	1802263	1
92122	V1	1802112	1
92123	C1	1802122	1
92124	V1	1802208	1
92125	Q1	1802125	1
92126	S1	1802230	1
92127	A1	1802258	1
92128	A1	1801846	1
92129	C1	1802127	1
92130	S1	1802005	1
92131	Q1	1802199	1
92132	S1	1802232	1
92133	S1	1802131	1
92134	S1	1802208	1
92135	C1	1802125	1
92221	Q1	1802127	1
92222	S1	1801863	1
92223	A1	1802194	1
92224	S1	1802229	1
92225	S1	1802251	1
92226	V1	1802191	1
92227	V1	1802134	1
92228	C1	1802238	1
90314	C1	1802118	1
90330	Q1	1802179	2
90356	S1	1802230	1
91977	Q1	1802197	1
91978	A1	1802241	2
91979	S1	1802230	1
91980	S1	1802230	1
91985	S1	1802210	1
91986	A1	1802242	2
91987	C1	1801902	2
91988	C1	0	2
91989	C1	1802125	1
91990	Q1	1802128	1
91991	A1	1802038	2
91992	V1	1802233	2
91993	A1	1801845	2
91995	Q1	1802139	2
91996	Q1	1802175	1
91997	C1	1802197	2
91998	Q1	1802198	1
92000	S1	1802229	2
92001	C1	1802240	1
92002	C1	1802238	1
92003	Q1	1802179	1
92004	V1	1802263	2
92005	S1	1802232	1
92006	V1	1802254	2
92007	S1	1802180	2
92008	A1	1801866	2
92009	S1	1802200	2
92010	C1	1802118	1
92012	A1	1802193	2
92013	S1	1802127	1
92015	S1	0	2
92016	Q1	1802127	2
92017	C1	1802229	1
92018	S1	0	2
92019	A1	1802142	2
92020	A1	1802266	2
92021	A1	1802143	1
92022	C1	1802228	2
92023	A1	1801875	2
92024	V1	1802135	2
92025	V1	1802217	2
92027	A1	1802194	1
92029	C1	1802127	2
92030	A1	1802257	1
92031	V1	1801909	1
92032	C1	1802118	2
92033	Q1	1802196	2
92034	C1	1802159	2
92035	A1	1802225	1
92036	V1	1802112	2
92038	C1	1802118	1
92039	S1	1802211	1
92040	V1	1802233	2
92041	Q1	1802260	2
92042	V1	1802216	2
92044	S1	1802010	1
92045	S1	1802208	1
92046	C1	1802120	1
92047	V1	1802015	2
92051	S1	1802232	2
92052	V1	1802263	2
92053	S1	1801923	1
92054	S1	1802259	1
92055	Q1	1802139	2
92056	Q1	1802155	1
92057	C1	1802239	2
92058	S1	1802259	2
92059	C1	1802097	2
92060	C1	1802230	2
92061	A1	1802138	2
92063	V1	1802127	1
92064	V1	1802222	2
92065	C1	1802019	2
92066	S1	1802131	2
92067	C1	1802127	1
92068	V1	1802227	1
92069	V1	1802228	1
92070	V1	1802265	2
92071	C1	1801980	1
92072	Q1	1802197	1
92073	S1	1802210	1
92074	V1	1801909	2
92075	A1	1802225	2
92076	C1	1802238	1
92077	C1	1801980	1
92078	V1	1802134	1
92079	S1	1802254	1
92083	S1	1802246	1
92084	A1	1801877	2
92085	V1	1802269	2
92086	C1	1801980	1
92087	S1	1802192	2
92088	S1	1802251	1
92090	S1	1802133	2
92092	S1	1801901	2
92093	A1	1802225	1
92094	A1	1801849	2
92095	S1	1802229	1
92096	V1	1801919	2
92097	C1	1801917	2
92098	Q1	1802179	2
92099	A1	1801844	2
92100	S1	1802255	1
92102	S1	1802149	1
92103	Q1	1802154	2
92104	S1	1802259	2
92105	V1	1802181	2
92106	C1	1802190	1
92107	V1	1802230	2
92108	V1	1802229	1
92109	C1	1802019	1
92110	V1	1802234	2
92111	A1	1802038	1
92112	S1	1802125	1
92113	S1	1802125	2
92114	C1	1802134	1
92115	S1	1802229	1
92116	C1	1801980	2
92117	Q1	1802127	2
92118	A1	0	2
92120	C1	1802161	2
92121	V1	1802223	1
92122	V1	1802015	2
92123	C1	1802237	2
92124	V1	1802231	1
92125	Q1	1802261	1
92126	S1	1802232	1
92127	A1	1801874	2
92128	A1	1801852	1
92129	C1	1802019	1
92130	S1	0	2
92131	Q1	1802196	1
92132	S1	1802134	1
92133	S1	1802227	1
92134	S1	1802127	1
92135	C1	1802117	1
92221	Q1	1802165	2
92222	S1	1802180	2
92223	A1	1802195	1
92224	S1	1802230	1
92225	S1	1802246	2
92226	V1	1801917	2
92227	V1	1802015	1
92228	C1	1802240	2
90314	C1	1802119	1
90330	Q1	0	3
90356	S1	1802229	1
91977	Q1	1801953	1
91978	A1	1802242	3
91979	S1	1802127	3
91980	S1	1802227	3
91985	S1	1802229	1
91986	A1	1802038	3
91987	C1	1801980	3
91988	C1	0	3
91989	C1	1801980	1
91990	Q1	1802198	1
91991	A1	1802143	3
91992	V1	1802134	3
91993	A1	1801846	3
91995	Q1	1802197	3
91996	Q1	1801953	1
91997	C1	1802019	3
91998	Q1	1802154	3
92000	S1	1802251	3
92001	C1	1802118	1
92002	C1	1802229	3
92003	Q1	1802155	3
92004	V1	1802262	3
92005	S1	1802229	3
92006	V1	0	3
92007	S1	1802097	3
92008	A1	0	3
92009	S1	1802230	3
92010	C1	1802185	1
92012	A1	0	3
92013	S1	1802144	1
92015	S1	0	3
92016	Q1	1802155	3
92017	C1	1802230	3
92018	S1	0	3
92019	A1	1802158	3
92020	A1	0	3
92021	A1	1802266	1
92022	C1	1802237	3
92023	A1	1801846	3
92024	V1	1802189	3
92025	V1	1802151	3
92027	A1	1802195	1
92029	C1	1802144	3
92030	A1	0	3
92031	V1	1802231	3
92032	C1	1802185	3
92033	Q1	1802155	3
92034	C1	1802160	3
92035	A1	1802226	1
92036	V1	1802265	3
92038	C1	1802119	1
92039	S1	1802097	3
92040	V1	1801917	3
92041	Q1	1801953	3
92042	V1	1802005	3
92044	S1	1802236	3
92045	S1	1802127	3
92046	C1	1802122	1
92047	V1	1802184	2
92051	S1	1802211	3
92052	V1	1802262	3
92053	S1	1802259	1
92054	S1	1802134	1
92055	Q1	1802179	3
92056	Q1	1802154	1
92057	C1	1802238	3
92058	S1	1802230	3
92059	C1	1802185	3
92060	C1	1802227	3
92061	A1	1802038	3
92063	V1	1802264	1
92064	V1	1802184	3
92065	C1	1801919	2
92066	S1	1802251	3
92067	C1	1802118	1
92068	V1	1802222	1
92069	V1	1802206	1
92070	V1	1802264	3
92071	C1	1802019	1
92072	Q1	1802139	1
92073	S1	1802245	1
92074	V1	1802168	2
92075	A1	1802036	3
92076	C1	1802239	1
92077	C1	1802185	3
92078	V1	1802229	1
92079	S1	1802230	3
92083	S1	1802229	3
92084	A1	1802037	3
92085	V1	1802223	2
92086	C1	1802153	1
92087	S1	1802193	3
92088	S1	1802127	1
92090	S1	1802229	3
92092	S1	1801900	3
92093	A1	0	3
92094	A1	1801845	3
92095	S1	1802232	1
92096	V1	1802218	3
92097	C1	1802229	3
92098	Q1	1802154	3
92099	A1	1801845	3
92100	S1	1802254	1
92102	S1	1802228	3
92103	Q1	1802261	3
92104	S1	1802097	3
92105	V1	1802246	3
92106	C1	1802118	1
92107	V1	0	3
92108	V1	1802228	3
92109	C1	1802185	3
92110	V1	1802265	3
92111	A1	1802241	3
92112	S1	1802009	1
92113	S1	1802127	3
92114	C1	1801923	3
92115	S1	1802230	3
92116	C1	1802128	3
92117	Q1	1802128	2
92118	A1	0	3
92120	C1	1802162	2
92121	V1	1802229	1
92122	V1	1801909	3
92123	C1	1801980	3
92124	V1	1802234	1
92125	Q1	1802179	3
92126	S1	1802229	1
92127	A1	1801875	3
92128	A1	1801844	3
92129	C1	1802201	1
92130	S1	0	3
92131	Q1	1802155	1
92132	S1	1802180	1
92133	S1	1802273	1
92134	S1	1801900	1
92135	C1	1802249	1
92221	Q1	1802261	3
92222	S1	0	3
92223	A1	1801868	1
92224	S1	1802149	3
92225	S1	1802210	3
92226	V1	1802218	3
92227	V1	1802112	3
92228	C1	1802237	2
90314	C1	1802120	1
90330	Q1	0	4
90356	S1	1802245	1
91977	Q1	1802260	1
91978	A1	1802138	4
91979	S1	1802236	4
91980	S1	1802228	4
91985	S1	1802245	4
91986	A1	1802138	4
91987	C1	1802153	4
91988	C1	0	4
91989	C1	1802213	1
91990	Q1	1802206	4
91991	A1	1802037	4
91992	V1	0	4
91993	A1	1801844	4
91995	Q1	1802154	4
91996	Q1	1802127	4
91997	C1	1801980	3
91998	Q1	1802125	4
92000	S1	1802249	4
92001	C1	1802019	4
92002	C1	1802230	3
92003	Q1	1802166	4
92004	V1	1802227	4
92005	S1	1802230	4
92006	V1	0	4
92007	S1	1802210	3
92008	A1	0	4
92009	S1	1802227	4
92010	C1	1802127	4
92012	A1	0	4
92013	S1	1802246	1
92015	S1	0	4
92016	Q1	1801953	4
92017	C1	1802128	3
92018	S1	0	4
92019	A1	0	4
92020	A1	0	4
92021	A1	1801852	1
92022	C1	1802227	4
92023	A1	0	4
92024	V1	0	4
92025	V1	1802149	3
92027	A1	1802225	4
92029	C1	1802177	4
92030	A1	0	4
92031	V1	1802244	4
92032	C1	1802161	4
92033	Q1	1802154	3
92034	C1	1802230	4
